fips,class,n,normalized_n,freq,primary_org_cat,TotalPopulation
02016,Arts & Cultural,1,1.9043991620643687e-4,0.5,Arts & Cultural,5251
02016,Economic,1,1.9043991620643687e-4,0.5,Arts & Cultural,5251
02020,Arts & Cultural,31,1.0596660342853236e-4,0.04585798816568047,Religious,292545
02020,Community,22,7.520210565895845e-5,0.03254437869822485,Religious,292545
02020,Economic,38,1.2989454613820096e-4,0.05621301775147929,Religious,292545
02020,Education,74,2.5295253721649663e-4,0.10946745562130178,Religious,292545
02020,Foundations,20,6.836555059905314e-5,0.029585798816568046,Religious,292545
02020,Healthcare,41,1.4014937872805893e-4,0.060650887573964495,Religious,292545
02020,Hobby & Sports,72,2.461159821565913e-4,0.10650887573964497,Religious,292545
02020,Housing,25,8.545693824881643e-5,0.03698224852071006,Religious,292545
02020,Political,26,8.887521577876908e-5,0.038461538461538464,Religious,292545
02020,Professional,63,2.1535148438701739e-4,0.09319526627218935,Religious,292545
02020,Religious,125,4.272846912440821e-4,0.1849112426035503,Religious,292545
02020,Research & Think Tank,22,7.520210565895845e-5,0.03254437869822485,Religious,292545
02020,Social & Fraternal,67,2.29024594506828e-4,0.09911242603550297,Religious,292545
02020,Unions,30,1.0254832589857971e-4,0.04437869822485207,Religious,292545
02020,Youth,20,6.836555059905314e-5,0.029585798816568046,Religious,292545
02050,Religious,2,1.0802635843145727e-4,1,Religious,18514
02060,Arts & Cultural,1,0.001177856301531213,1,Arts & Cultural,849
02068,Research & Think Tank,1,4.572473708276177e-4,1,Research & Think Tank,2187
02090,Arts & Cultural,4,4.1173866946648964e-5,0.025157232704402517,Religious,97149
02090,Community,9,9.264120062996016e-5,0.05660377358490566,Religious,97149
02090,Economic,6,6.176080041997344e-5,0.03773584905660377,Religious,97149
02090,Education,20,2.058693347332448e-4,0.12578616352201258,Religious,97149
02090,Foundations,2,2.0586933473324482e-5,0.012578616352201259,Religious,97149
02090,Healthcare,3,3.088040020998672e-5,0.018867924528301886,Religious,97149
02090,Hobby & Sports,16,1.6469546778659586e-4,0.10062893081761007,Religious,97149
02090,Housing,3,3.088040020998672e-5,0.018867924528301886,Religious,97149
02090,Political,2,2.0586933473324482e-5,0.012578616352201259,Religious,97149
02090,Professional,9,9.264120062996016e-5,0.05660377358490566,Religious,97149
02090,Religious,45,4.632060031498008e-4,0.2830188679245283,Religious,97149
02090,Research & Think Tank,1,1.0293466736662241e-5,0.006289308176100629,Religious,97149
02090,Social & Fraternal,28,2.882170686265427e-4,0.1761006289308176,Religious,97149
02090,Unions,9,9.264120062996016e-5,0.05660377358490566,Religious,97149
02090,Youth,2,2.0586933473324482e-5,0.012578616352201259,Religious,97149
02100,Religious,1,4.7664442326024784e-4,1,Religious,2098
02110,Arts & Cultural,10,3.1017369727047146e-4,0.125,Hobby & Sports,32240
02110,Community,1,3.1017369727047146e-5,0.0125,Hobby & Sports,32240
02110,Economic,9,2.791563275434243e-4,0.1125,Hobby & Sports,32240
02110,Education,8,2.4813895781637717e-4,0.1,Hobby & Sports,32240
02110,Foundations,2,6.203473945409429e-5,0.025,Hobby & Sports,32240
02110,Healthcare,2,6.203473945409429e-5,0.025,Hobby & Sports,32240
02110,Hobby & Sports,12,3.7220843672456576e-4,0.15,Hobby & Sports,32240
02110,Housing,3,9.305210918114144e-5,0.0375,Hobby & Sports,32240
02110,Political,5,1.5508684863523573e-4,0.0625,Hobby & Sports,32240
02110,Professional,7,2.1712158808933002e-4,0.0875,Hobby & Sports,32240
02110,Religious,3,9.305210918114144e-5,0.0375,Hobby & Sports,32240
02110,Research & Think Tank,1,3.1017369727047146e-5,0.0125,Hobby & Sports,32240
02110,Social & Fraternal,9,2.791563275434243e-4,0.1125,Hobby & Sports,32240
02110,Unions,7,2.1712158808933002e-4,0.0875,Hobby & Sports,32240
02110,Youth,1,3.1017369727047146e-5,0.0125,Hobby & Sports,32240
02122,Arts & Cultural,8,1.362606666553116e-4,0.07547169811320754,Religious,58711
02122,Community,9,1.5329324998722557e-4,0.08490566037735849,Religious,58711
02122,Economic,10,1.703258333191395e-4,0.09433962264150944,Religious,58711
02122,Education,10,1.703258333191395e-4,0.09433962264150944,Religious,58711
02122,Foundations,1,1.703258333191395e-5,0.009433962264150943,Religious,58711
02122,Healthcare,1,1.703258333191395e-5,0.009433962264150943,Religious,58711
02122,Hobby & Sports,13,2.2142358331488137e-4,0.12264150943396226,Religious,58711
02122,Housing,3,5.109774999574186e-5,0.02830188679245283,Religious,58711
02122,Political,3,5.109774999574186e-5,0.02830188679245283,Religious,58711
02122,Professional,1,1.703258333191395e-5,0.009433962264150943,Religious,58711
02122,Religious,25,4.2581458329784877e-4,0.2358490566037736,Religious,58711
